# This file is part of the supplement to Brune, Williams, Müller: "Potential links between continental rifting, CO2 degassing and climate change through geological time", Nature Geoscience, 2017). 
# For a discussion of how the table was constructed, see the supplementary material of the publication above.
# A map of all rifts including their Region, ID, Time, and Length (visualized via circle size) is provided as separate supplementary figure.
# The table is based on the rift compilation of Şengör, A.M.C., and Natal’in, B.A., 2001: "Rifts of the World", Geological Society of America Special Papers, v. 352, p.389-482, doi: 10.1130/0-8137-2352-3.389
# 
Region,ID,Long_Min,Long_Max,Lat_Min,Lat_Max,Orientation,Name,Length,Width,Old_Age,Young_Age,Kinematic_Type_1,Geometric_Type_1,Kinematic_Type_2,Geometric_Type_2
WEUR,1,23,23.67,40.67,,E,Lake Koronia,50,10,Holocene,,k33,g1,
WEUR,2,8.5,9.17,39.17,39.83,NW,Campidano,80,15,Quaternary,,k422,g1,k32,g1
WEUR,3,-4.5,0,46.5,49,"N,NNW",Bretagne,350,100,Pliocene,Quaternary,k423,g4,,
WEUR,4,20.83,,39.67,,NNW,Ioannina Graben,80,20,Pliocene,,k33,g1,,
WEUR,5,21.17,22.25,40,41,NNW,Florina Graben,130,20,Pliocene,,k33,g1,
WEUR,6,20.5,20.83,39.75,41.17,NNW,Lake Ohrid-Grevena,170,45,Pliocene,,k33,g1,,
WEUR,7,22,24,38,39,NW,Gulf of Evvoia,200,15,Pliocene,,k32,g1,,
WEUR,8,21.83,23.25,37.33,37.83,ESE,Gulf of Corinth,130,30,Pliocene,,k32,g1,,
WEUR,9,22.17,22.67,36.83,37.35,NNW,Eurotas Valley,85,10,Pliocene,,k411,g4,k32,g4
WEUR,10,22.33,23,35.83,36.83,NNE,Gulf of Laconia,120,35,Pliocene,,k411,g4,k32,g4
WEUR,11,21.83,22.25,36.25,37.15,N,Gulf of Messenia,135,40,Pliocene,,k411,g4,k32,g4
WEUR,12,-2,-0.5,37.33,38.33,ENE,Murcia Basin,170,75,late Miocene,,k32,g1,,
WEUR,13,-4.5,,36.71,,E,Malaga Basin,30,12,late Miocene,,k32,g1,,
WEUR,14,-5,-3.25,35.25,36.33,NW,Western Alboran Basin,110,70,late Miocene,,k32,g1,,
WEUR,15,-3.5,-2.5,37,38,ENE,guadix,100,30,late Miocene,
WEUR,16,-3.83,,37.17,,NNW,granada,40,50,late Miocene,
WEUR,17,10,16.25,38,44,NW,Internal Appenines,800,200,late Miocene,
WEUR,18,26.17,,35.2,,"NE,E",Sitia,35,7,late Miocene,
WEUR,19,25,25.33,35.1,35.4,N,Iraklion,24,25,late Miocene,
WEUR,20,23.83,24.83,35.25,35.5,"E,NW,NE",Khania,200,18,late Miocene,
WEUR,21,22.5,23.75,35.25,36.5,NNE,Antikithira,120,100,late Miocene,
WEUR,22,23.5,27,40.75,41.5,ENE,Saros,700,100,late Miocene,
WEUR,23,25.33,27,40.75,41.25,ENE,Enez,200,20,late Miocene,
WEUR,24,25.17,25.75,41,,ENE,Konotini,80,20,late Miocene,
WEUR,25,24.5,25.17,41,,ENE,Kavala-Xanthi,100,20,late Miocene,
WEUR,26,24.13,,41.15,,N,Drama,60,10,late Miocene,,k33,g3,,
WEUR,27,23,24.5,40.25,42.25,"N,NNW",Dzerman,250,15,late Miocene,,k33,g3,,
WEUR,28,23.33,,42.66,,NW,Sofia,30,10,late Miocene,,k33,g3,,
WEUR,29,24.75,,42.17,,E,Plovdiv,60,30,late Miocene,,k33,g3,,
WEUR,30,26.5,,42.28,,ESE,Yambol,50,20,late Miocene,,k33,g3,,
WEUR,31,25.58,,42,,ESE,Maritza,50,50,late Miocene,,k33,g3,,
WEUR,32,27.47,,42.5,,E,Burgas,50,20,late Miocene,,k33,g3,,
WEUR,33,23.75,26.32,42.67,,E,Sub-Balkan,200,15,late Miocene,,k33,g3,,
WEUR,34,16.17,18,46.83,48.75,NE,Hungarian,180,45,late Miocene,,k31,g1,k32,g1
WEUR,35,21.5,23,48,49.17,NW,Transcarpathian,120,25,late Miocene,,k31,g1,k32,g1
WEUR,36,21.5,23,47.83,48.17,"NE,NW",Nyirseg,80,110,late Miocene,,k5,g3,,
WEUR,37,22.17,,47,,NE,Derecske,60,20,late Miocene,,k31,g1,k32,g1
WEUR,38,19.83,21.25,47,48,NE,Jaszsag,120,25,late Miocene,,k31,g1,k32,g3
WEUR,39,20.92,21.5,46.5,47,NNW,Bekes,80,60,late Miocene,,k33,g4,,
WEUR,40,20,21,45.75,46.75,NNW,Mako,100,50,late Miocene,,k33,g1,k33,g4
WEUR,41,16,17.5,46.25,47,"E,NNE",Zala,140,20,late Miocene,,k31,g2,k32,g2
WEUR,42,17,18,45.75,46.25,NW,Drava,123,20,late Miocene,,k31,g3k32,g3
WEUR,43,16,17,45.25,45.75,NW,Sava,80,18,late Miocene,,k31,g3,k32,g3
WEUR,44,10.25,,41.33,42,N,Montecristo,90,10,late Miocene,,k411,g3,,
WEUR,45,9.5,10,41.33,43,N,Corsican,200,30,late Miocene,,k411,g3,,
WEUR,46,10.5,11.33,39,41,N,Cornaglia,300,90,late Miocene,,k411,g3,,
WEUR,47,10,10.5,39,41,N,Sardinia,350,35,late Miocene,,k411,g3,,
WEUR,48,7.5,13.5,37,40,"ENE,N,NNE",Sardinia Channel,600,220,middle Miocene,,k32,g4,k422,g4
WEUR,49,14.83,,46.83,,NNW,Lavant,25,6,middle Miocene,,k32,g4,,
WEUR,50,15.67,16.17,46.5,47.25,NNE,Steyrian,90,35,middle Miocene,,k31,g1,,
WEUR,51,16.5,17.25,47.83,48.75,NE,Vienna,100,30,middle Miocene,,k32,g1,,
WEUR,52,26.5,28,39,40.83,NW,Ergene,125,30,early Miocene,Middle Miocene,k31,g3,,
WEUR,53,21,24,39,44,NNW,Vardar-Thermai,520,100,early Miocene,Middle Miocene,k33,g3,,
WEUR,54,22.25,23,39.33,39.75,NW,Larissa,60,15,Miocene,,k32,g4,,
WEUR,55,21.5,22.5,39,39.75,NW,Karditsa,90,30,Miocene,,k32,g4,,
WEUR,56,7.75,11,47.5,50.25,WNW,Illies,280,140,Late Oligocene,Early Miocene,k32,g4,,
WEUR,57,12.33,12.5,50,50.25,NNW,Cheb,21,10,Miocene,,k423,g3,k423,g4
WEUR,58,0,4,39,41.33,NW,Valencia,350,120,Late Oligocene,Early Miocene,k411,g3,,
WEUR,59,7,8.5,38.5,41.25,N,Sardinian west,300,90,Oligocene,,k411,g3,,
WEUR,60,8.5,,39.75,41,N,Othoca,135,20,middle Oligocene,,k411,g3,,
WEUR,61,13,14,50.25,50.67,ENE,Bohemian,70,23,middle Oligocene,,k423,g3,k423,g4
