Age (Ga),Age (Ma),Peak T,Peak P/P-T/peak T,T (degC),P (GPa),T / P (degC/GPa),References,Long,Lat,OrogenName,CoordsQuality
3.714,3714,"Amphibolite unit, Isua supracrustal belt, southwest Greenland",P-T,600,0.7,857.14,Arai et al. (2015); Blichert-Toft and Frei (2001),,,,
3.669,3669,"Islands south of Nuuk, southwest Greenland",P-T,860,0.8,1075,Authors P-T estimate (unpubl.); Horie et al. (2010),,,,
3.312,3312,"Metasedimentary enclave, Mount Edgar dome, East Pilbara",Peak T,700,0.7,1000,François et al. (2014),,,,
3.07,3070,"Kubuta granulites, Ancient Gneiss Complex, Swaziland",Peak T,853,0.71,1201.41,Taylor et al. (2012); Suhr et al. (2015),,,,
2.923,2923,"La France Formation, Murchison Greenstone Belt, South Africa",Peak P,655,0.81,808.64,Block et al. (2013),,,,
2.819,2819,"BIF, Voronezh Crystalline Massif, Volgo-Uralia",Peak T,900,1,900,Savko et al. (2010); Fonarev et al. (2006),,,,
2.8,2800,"Tasiusarsuaq terrane, southern West Greenland",P-T,865,0.81,1067.9,Dziggel et al (2012),,,,
2.751,2751,"Tre BrËdre terrane, southern West Greenland",P-T,640,0.6,1066.67,Dzieggel et al. (2014),,,,
2.73,2730,"Mkhondo Valley metamorphic suite, Ancient Gneiss Complex, Swaziland",Peak T,838,0.5,1676,Taylor et al. (2010),,,,
2.715,2715,"Granulite xenolith, Grace kimberlite pipe, South Africa",Peak T,"1,000",1.05,952.38,Dawson et al. (1997); Schmitz and Bowring (2003); Baldwin et al. (2007),,,,
2.742,2742,"Skjoldungen, SE Greenland",P-T,760,0.8,950,Tusch et al. (2015); Berger et al. (2014),,,,
2.72,2720,"Southern Marginal Zone, Limpopo Belt, southern Africa",P-T,853,1.1,775.45,Nicoli et al. (2015),,,,
2.718,2718,"Paradise Basin, Wind River Range, Wyoming, USA",Peak T,780,0.95,821.05,Keane et al. (2006); Donohue and Essene (2005),,,,
2.7,2700,"Scourie_Drumbeg, NW Scotland",P-T,950,1.05,904.76,Johnson & White (2011); Johnson et al. (2013); Crowley et al. (2015),,,,
2.7,2700,"Minto block, Superior Province, Canada (average 7 samples)",P-T,840,0.67,1253.73,Pattison et al. (2003),,,,
2.7,2700,"English River Domain, Superior Province, Canada (average 7 samples)",P-T,810,0.65,1246.15,Pattison et al. (2003),,,,
